Document,Cluster,Cluster Name
A cost of living lesson at the 99p breakfast café. People at a Yorkshire café explain what life is like - and whether politics can make a difference.,0,Politics
"A history of BBC election night in two minutes.As voters get ready for their date with the polls, we look at how technology has advanced our coverage over the years.",0,Politics
A$AP Rocky's Paris Fashion Week debut show: A 'political satire'. Rapper A$AP Rocky launched his new collection at Paris Fashion Week Menswear SS25 with a private show.,0,Politics
"After accusing Strictly Come Dancing professional Giovanni Pernice of bullying, actress Amanda Abbington faced death threats and ""relentless"" abuse. Now, she says she ""couldn't sit back and let him do that to other people"".",0,Politics
"Alliance Party manifesto: Key policies analysed. The Alliance Party launches its 2024 election manifesto, setting out the party's plans.",0,Politics
"Analysis: JD Vance recounts 'hillbilly' roots but shows hard political edge  . Donald Trump's running mate signals hardline positions on immigration, trade and energy policy in headline convention speech.",0,Politics
'Arise Sir Gareth' and minister's prison announcement. Saturday's front pages look ahead to the Euros final and some of Labour's new policies.,0,Politics
"Belarus frees five political prisoners in rare amnesty. Activists say three men and two women were released, in a move signalled by Alexander Lukashenko on Tuesday.",0,Politics
Biden urges America to 'lower temperature' after Trump shooting. President Biden urged Americans to lower the political temperature following the Trump rally shooting.,0,Politics
Big events give PM chance to set tone for premiership. The prime minister is hosting a gathering of more than 40 European leaders in Oxfordshire.,0,Politics
Big events give PM chance to set tone for premiership.The prime minister is hosting a gathering of more than 40 European leaders in Oxfordshire.,0,Politics
"Bristol in pictures: Pride, politics and zombies. From zombies on a train to Miriam Margoyles visiting, it's been a busy week - with fans coming together to celebrate Bristol Pride and England making it to the EURO finals.",0,Politics
Campaigner worried over damage to political signs. Tim Durham said he is concerned about the impact this could have on his daughter who is autistic.,0,Politics
Chris Mason: Gething downfall delivers Starmer first headache.The Welsh Labour government was for so long a case study in how the party could operate in power during its long years of opposition at Westminster.,0,Politics
Chris Mason: My 40 minutes with Ukraine's Zelensky. The Ukrainian leader sat down with the BBC's political editor Chris Mason on Thursday.,0,Politics
Chris Mason: My 40 minutes with Ukraine's Zelensky.The Ukrainian leader sat down with the BBC's political editor Chris Mason on Thursday.,0,Politics
"Cleverly warns Labour will 'distort' political system .  Labour unveils a new message urging voters to avoid ""waking up on July 5 to five more years"" of Conservative government.",0,Politics
Conservative manifesto: 12 key policies analysed. BBC correspondents analyse key policies in the Conservative manifesto.,0,Politics
Cooper calls Leeds disorder 'audacious criminality'.Yvette Cooper MP has said those who sparked the disturbances will face full force of the law.,0,Politics
